Date,Open,High,Low,Close,Moving Average 50,Moving Average 15
5/11/2015 2:50:00 PM,547.57,547.98,547.52,547.83,549.0158,547.906
5/11/2015 3:00:00 PM,547.55,547.9,546.97,547.15,548.9316,547.8433
5/11/2015 3:10:00 PM,547.15,547.18,546.01,546.95,548.8486,547.7546
5/11/2015 3:20:00 PM,546.95,547.27,546.6,547.01,548.7752,547.7087
5/11/2015 3:30:00 PM,547.01,547.48,546.76,546.92,548.6984,547.6633
5/11/2015 3:40:00 PM,546.92,547.37,546.68,546.78,548.6188,547.582
5/11/2015 3:50:00 PM,546.78,547.41,546.38,546.58,548.5366,547.458
5/11/2015 4:00:00 PM,546.55,546.66,545.6,545.77,548.4362,547.2787
5/12/2015 9:40:00 AM,542.81,542.96,538.31,539,548.2086,546.6547
5/12/2015 9:50:00 AM,539,541.14,537.12,537.9,547.9698,546.004
5/12/2015 10:00:00 AM,537.9,539.92,537.61,538.06,547.7446,545.36
5/12/2015 10:10:00 AM,538.24,538.46,536.74,537.6,547.502,544.6713
5/12/2015 10:20:00 AM,537.37,537.5,535.46,535.72,547.224,543.9073
5/12/2015 10:30:00 AM,535.72,536.25,535,535.64,546.9406,543.0987
5/12/2015 10:40:00 AM,535.64,538.57,535.12,538.17,546.716,542.472
5/12/2015 10:50:00 AM,538.02,538.97,537.77,538.2,546.485,541.83
5/12/2015 11:00:00 AM,538.2,538.57,537.6,537.83,546.252,541.2087
5/12/2015 11:10:00 AM,537.8,539.9,537.8,539.73,546.054,540.7274
5/12/2015 11:20:00 AM,539.8,539.85,538.73,538.91,545.8532,540.1873
5/12/2015 11:30:00 AM,538.91,540.4,538.91,539.34,545.6052,539.682
5/12/2015 11:40:00 AM,539.34,540.27,539,539.46,545.364,539.194
5/12/2015 11:50:00 AM,539.46,540.5,539.04,540.18,545.1352,538.7673
5/12/2015 12:00:00 PM,540.18,540.38,539.29,539.43,544.9168,538.3447
5/12/2015 12:10:00 PM,539.43,539.66,538,538.04,544.6872,538.2806
5/12/2015 12:20:00 PM,538.04,538.65,537.6,538.52,544.4956,538.322
5/12/2015 12:30:00 PM,538.52,538.74,538.07,538.42,544.304,538.346
5/12/2015 12:40:00 PM,538.42,539.03,537.92,538.71,544.1038,538.42
5/12/2015 12:50:00 PM,539,539.04,538.27,538.49,543.9024,538.6047
5/12/2015 1:00:00 PM,538.49,538.85,537.67,537.77,543.702,538.7466
5/12/2015 1:10:00 PM,537.77,538,536.59,537.52,543.4822,538.7033
5/12/2015 1:20:00 PM,537.52,538.55,537.43,537.69,543.2868,538.6693
5/12/2015 1:30:00 PM,537.69,538.75,537.69,538.12,543.1038,538.6887
5/12/2015 1:40:00 PM,538.12,538.27,537.39,538.09,542.9084,538.5793
5/12/2015 1:50:00 PM,538.09,538.62,538,538.09,542.699,538.5247
5/12/2015 2:00:00 PM,538.04,538.68,537.79,538.53,542.5292,538.4707
5/12/2015 2:10:00 PM,538.53,538.9,538.2,538.58,542.3498,538.412
5/12/2015 2:20:00 PM,538.58,538.68,537.53,537.81,542.1442,538.254
5/12/2015 2:30:00 PM,537.81,539.09,537.81,539.09,541.9604,538.2313
5/12/2015 2:40:00 PM,539.11,539.97,539.01,539.97,541.8058,538.36
5/12/2015 2:50:00 PM,539.97,539.97,539.15,539.42,541.6422,538.42
5/12/2015 3:00:00 PM,539.53,539.58,537.86,538.12,541.4446,538.4
5/12/2015 3:10:00 PM,538.12,539,538.02,539,541.2558,538.4193
5/12/2015 3:20:00 PM,539,539.4,538.7,539.04,541.0674,538.456
5/12/2015 3:30:00 PM,539.04,539.74,538.95,539.74,540.895,538.5873
5/12/2015 3:40:00 PM,539.66,539.84,538.66,539.23,540.7264,538.7014
5/12/2015 3:50:00 PM,539.26,539.49,538.63,539.12,540.5544,538.7967
5/12/2015 4:00:00 PM,539.39,539.65,538.71,538.73,540.3704,538.8373
5/13/2015 9:40:00 AM,540.8,543.73,540.47,542.71,540.281,539.1453
5/13/2015 9:50:00 AM,542.71,543.84,542.28,543,540.1856,539.4727
5/13/2015 10:00:00 AM,542.81,543.62,541.27,541.98,540.0738,539.7026
5/13/2015 10:10:00 AM,541.97,542.71,541.42,542.41,539.9654,539.958
5/13/2015 10:20:00 AM,542.38,542.72,542.04,542.04,539.8632,540.24
5/13/2015 10:30:00 AM,542.04,543.49,542.04,543.3,539.7902,540.5206
5/13/2015 10:40:00 AM,543.27,543.27,541.57,541.8,539.686,540.6426
5/13/2015 10:50:00 AM,542.13,542.16,541.05,541.82,539.584,540.8027
5/13/2015 11:00:00 AM,541.82,542.25,541.38,541.39,539.4762,541.0206
5/13/2015 11:10:00 AM,541.39,541.42,540.47,540.99,539.3644,541.1533
5/13/2015 11:20:00 AM,540.99,542,540.89,541.87,539.2864,541.342
5/13/2015 11:30:00 AM,541.83,541.83,540.22,540.79,539.3222,541.412
5/13/2015 11:40:00 AM,540.79,541.96,540.12,541.27,539.3896,541.548
5/13/2015 11:50:00 AM,541.27,541.95,541.18,541.31,539.4546,541.694
5/13/2015 12:00:00 PM,541.31,541.58,540.52,541.09,539.5244,541.8513
5/13/2015 12:10:00 PM,541.09,541.35,540.94,541.12,539.6324,541.7453
5/13/2015 12:20:00 PM,541.12,541.28,540.4,540.97,539.739,541.61
5/13/2015 12:30:00 PM,540.97,541.14,539.87,540.47,539.785,541.5093
5/13/2015 12:40:00 PM,540.48,541.62,540.29,541.48,539.8506,541.4473
5/13/2015 12:50:00 PM,541.47,541.56,541.16,541.39,539.9218,541.404
5/13/2015 1:00:00 PM,541.43,541.71,541.12,541.3,539.9532,541.2707
5/13/2015 1:10:00 PM,541.3,542.34,541.22,542.04,540.0158,541.2867
5/13/2015 1:20:00 PM,542.04,542.14,541.37,541.87,540.0664,541.29
5/13/2015 1:30:00 PM,541.87,542.02,541.51,541.56,540.1084,541.3013
5/13/2015 1:40:00 PM,541.56,541.93,540.96,541.06,540.126,541.306
5/13/2015 1:50:00 PM,541.06,541.86,541.06,541.43,540.166,541.2767
5/13/2015 2:00:00 PM,541.43,541.48,540.78,540.95,540.2242,541.2874
5/13/2015 2:10:00 PM,540.95,541.17,540.21,540.34,540.2606,541.2253
5/13/2015 2:20:00 PM,540.32,540.39,539.55,540.01,540.2924,541.1387
5/13/2015 2:30:00 PM,540.04,540.48,539.02,540.2,540.3222,541.0793
5/13/2015 2:40:00 PM,540.2,540.2,539.42,540.14,540.3552,541.014
5/13/2015 2:50:00 PM,540.14,540.66,539.84,540.27,540.4052,540.9673
5/13/2015 3:00:00 PM,540.27,540.42,539.76,540.33,540.4614,540.958
5/13/2015 3:10:00 PM,540.33,540.72,540.06,540.5,540.5176,540.8927
5/13/2015 3:20:00 PM,540.5,540.64,539.73,540.13,540.5578,540.8087
5/13/2015 3:30:00 PM,540.11,540.5,539.66,539.82,540.5924,540.71
5/13/2015 3:40:00 PM,539.7,539.85,539.02,539.1,540.6126,540.514
5/13/2015 3:50:00 PM,539.1,539.97,539.1,539.85,540.639,540.3793
5/13/2015 4:00:00 PM,539.85,540.09,538.98,539.49,540.6572,540.2413
5/14/2015 9:40:00 AM,543.97,545.25,543.59,544.5,540.791,540.4706
5/14/2015 9:50:00 AM,544.5,544.69,543.01,543.98,540.8888,540.6407
5/14/2015 10:00:00 AM,543.98,544.72,543,543.39,540.9572,540.8033
5/14/2015 10:10:00 AM,543.32,544.52,543.2,544.29,541.0546,541.0667
5/14/2015 10:20:00 AM,544.29,546.29,544.11,545.38,541.1998,541.4247
5/14/2015 10:30:00 AM,545.48,546.2,545.36,545.77,541.3352,541.796
5/14/2015 10:40:00 AM,545.77,545.8,544.87,545.15,541.4574,542.13
5/14/2015 10:50:00 AM,545.15,545.67,544.86,545,541.5626,542.4453
5/14/2015 11:00:00 AM,545,545.68,544.78,545.62,541.6904,542.798
5/14/2015 11:10:00 AM,545.67,546.84,545.64,545.92,541.8264,543.1593
5/14/2015 11:20:00 AM,545.92,546.41,545.61,545.91,541.97,543.5447
5/14/2015 11:30:00 AM,546.3,546.68,546.16,546.49,542.0456,543.9893
5/14/2015 11:40:00 AM,546.59,547.4,546.1,546.76,542.1208,544.5
5/14/2015 11:50:00 AM,546.64,547,546.29,547,542.2212,544.9767
5/14/2015 12:00:00 PM,547,547.02,546.32,546.62,542.3054,545.452
5/14/2015 12:10:00 PM,546.62,546.95,546.47,546.64,542.3974,545.5947
5/14/2015 12:20:00 PM,546.64,547.82,546.5,547.56,542.4826,545.8333
